anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
10674,Omake,5.05,Comedy,Movie,1,2003,,Finished,,Original,G,11868,13545,0,395
19977,The Impression of First Gundam,5.31,"Action, Sci-Fi",Special,1,1998,summer 1998,Finished,Sunrise,,PG-13,11334,10882,1,448
5091,Manga Sarutobi Sasuke,7.15,"Adventure, Comedy, Supernatural",TV,24,1979,fall 1979,Finished,,,PG,3280,10925,14,836
50280,Jing: Shuang Cheng 2nd Season,6.5,"Action, Adventure, Fantasy",ONA,18,2021,fall 2021,Finished,,Novel,R,6396,13912,9,152
3048,In no Houteishiki,6.23,Hentai,OVA,2,2004,winter 2004,Finished,Piko Studio,Manga,Rx,,7759,27,2078
5096,Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.44,"Adventure, Comedy, Fantasy",Movie,1,2008,winter 2008,Finished,Shin-Ei Animation,,PG,1902,5868,8,6914
35416,"Kabuki-bu!: Oogiri ""Chiyocolate-gassen""",6.13,,Special,1,2017,summer 2017,Finished,Studio Deen,Novel,PG-13,8243,10903,1,262
5098,Andersen Monogatari,5.62,"Drama, Fantasy",Movie,1,1968,winter 1968,Finished,Toei Animation,,G,10387,12386,1,337
35411,Hortensia Saga CM,5.87,Fantasy,ONA,7,2015,winter 2015,Finished,,Game,G,9407,10543,3,327
3046,Shiroki Tenshi-tachi no Rondo,5.63,Hentai,OVA,2,2002,fall 2002,Finished,Y.O.U.C,Visual novel,Rx,,9912,7,851
3043,Andersen Douwa: Ningyohime,6.86,"Fantasy, Romance",Movie,1,1975,winter 1975,Finished,Toei Animation,,G,4565,7657,32,2493
48392,Meijyou,5.24,Hentai,ONA,1,2021,winter 2021,Finished,Poly Animation,Original,Rx,,10997,8,579
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,7.1,Hentai,OVA,2,2008,summer 2008,Finished,Office Take Off,Manga,Rx,,5160,50,6844
5049,Onmyouji: Youen Emaki,5.53,"Supernatural, Hentai",OVA,2,2003,summer 2003,Finished,T-Rex,Original,Rx,,10158,2,704
5085,Nakedyouth,5.68,"Boys Love, Romance, Slice of Life, Sports",ONA,1,2006,,Finished,,Original,R+,10133,6703,10,3757
3050,Panchira Teacher,6.36,Hentai,OVA,2,2004,fall 2004,Finished,AT-2,Original,Rx,,6045,36,4401
35478,Neko no Robu,,"Comedy, Slice of Life",TV,10,2017,spring 2017,Finished,Kachidoki Studio,Original,G,18471,11897,0,
35476,Little Charo 4: Eigo de Aruku New York,,Adventure,TV,36,2013,spring 2013,Finished,Spooky graphic,Original,G,17727,18211,0,
3058,Darling,6.37,"Comedy, Hentai",OVA,3,2003,winter 2003,Finished,Front Line,Visual novel,Rx,,7007,14,2610
1501,Kaleido Star: Good da yo! Goood!!,6.71,Comedy,OVA,1,2006,summer 2006,Finished,Gonzo,,G,5287,6989,8,3211
5054,Kojin Jugyou The Animation: Schoolgirl Ready for a Private Lesson,6.43,Hentai,OVA,2,2008,spring 2008,Finished,Flavors Soft,Manga,Rx,,8511,9,1324
1503,Mahou Shoujo Pretty Sammy Specials,6.24,"Adventure, Comedy, Fantasy",Special,7,1997,,Finished,AIC,,PG,7685,11050,2,509
19971,Machi Ichiban no Kechinbou,5.66,"Drama, Supernatural",Special,1,1978,fall 1978,Finished,,Novel,G,10238,14263,0,170
10683,Tentacle and Witches,7.05,"Supernatural, Hentai",OVA,4,2011,spring 2011,Finished,Oz Inc.,Visual novel,Rx,,4830,142,7406
3056,Natural,5.85,Hentai,OVA,2,1999,winter 1999,Finished,"Arms, Triple X",Visual novel,Rx,,10362,0,775
1038,Mizuiro,5.69,Hentai,OVA,2,2002,summer 2002,Finished,Arms,Visual novel,Rx,,9957,3,777
17076,Chagama Ondo,4.85,"Comedy, Supernatural",Movie,1,1935,winter 1935,Finished,,Original,G,12142,12082,0,604
35447,100% Pascal-sensei,5.28,Comedy,ONA,6,2016,fall 2016,Finished,,Manga,G,11390,13822,0,236
35446,Residence,6.8,Hentai,OVA,3,2017,spring 2017,Finished,Ryuu M's,Manga,Rx,,6036,74,4212
1504,Macross Flash Back 2012,6.85,"Drama, Sci-Fi",OVA,1,1987,spring 1987,Finished,Tatsunoko Production,,R+,4606,6249,7,4465
1041,Zetsuai 1989,6.31,"Boys Love, Drama, Romance, Sports, Erotica",OVA,1,1992,summer 1992,Finished,Madhouse,Manga,PG-13,,5502,39,6304
50202,Shiguang Dailiren x Wanglaoji: Guanjian Shike Hai de Kan Guang Lu a!,6.0,Comedy,ONA,1,2021,summer 2021,Finished,,Original,PG-13,8843,12282,0,363
50201,Namui BL Manhwa Animation,5.26,"Boys Love, Comedy, Drama, Romance, Slice of Life",ONA,12,2018,winter 2018,Finished,,Web manga,PG-13,11446,12038,5,268
48450,Toilet no Hanako-san vs Kukkyou Taimashi,6.52,Hentai,OVA,4,2021,winter 2021,Finished,Suzuki Mirano,Other,Rx,,7303,31,2912
35652,Crayon Shin-chan Gaiden: O-o-o no Shinnosuke,6.36,"Comedy, Supernatural",ONA,13,2017,spring 2017,Finished,,Manga,G,7064,11990,3,381
10697,Asa kara Zusshiri Milk Pot,6.02,Hentai,OVA,2,2011,summer 2011,Finished,Studio 9 Maiami,Visual novel,Rx,,6469,43,3473
38831,Yue ni Hitozuma wa Netorareta.,5.89,Hentai,OVA,2,2019,winter 2019,Finished,Blue bread,Manga,Rx,,8365,10,1644
10695,Yume Kui: Tsurumiku Shiki Game Seisaku,6.62,Hentai,OVA,2,2011,summer 2011,Finished,Suzuki Mirano,Visual novel,Rx,,6041,50,3637
